English Captions                          Georgian Captions
Indiana Pacers                            indiana peisersi
Toronto Raptors                           toronto raptorsi
Philadelphia 76ers                        filadelfia 76
Chicago Bulls                             Cikago bulsi
Atlanta Hawks                             atlanta houqsi
San Antonio Spurs                         san antonio spursi
Denver Nuggets                            denver negetsi
Sacramento Kings                          sakramento kingsi
Utah Jazz                                 iuta jazi
Minnesota Timberwolves                    minesota timbervolvsi
CO Split                                  ko spliti
Crvena Zvezda                             crvena zvezda
Sodertalje                                sodertalie
Boras                                     borasi
Solna                                     solna
Jamtland                                  emtlandi
Sundsvall                                 sundsvali
Uppsala                                   upsala
Norrkoping                                norCepingi
Turow Zgorzelec                           turou zgorzeleci
Universitet Surgut                        universitet surguti
Unics Kazan                               iuniqs kazani
BC Donetsk                                donecki
BC Kyiv                                   kievi
MBC Mykolaiv                              mikolaivi
Ball State Cardinals                      bol sTeiT kardinalsi
Western Michigan Broncos                  vestern miCigani
Bowling Green Falcons                     bouling green falkonsi
Miami Redhawks                            maiami redhouqsi
Drexel Dragons                            dreqsel dragonsi
Georgia Tech Yellow Jackets               jorjia teC ielou jeketsi
Boston College Eagles                     boston kolej iglsi
High Point Panthers                       hai point pantersi
Liberty Flames                            liberti fleimsi
Illinois Fighting Illili                  ilinois faiTingi
Ohio State Buckeyes                       ohaio sTeiT baqaisi
Jacksonville Dolphins                     jeksonvil delfinsi
Savannah State Tigers                     savana sTeiT Taigersi
Ohio Bobcats                              ohaio bobqeTsi
Akron Zips                                akron zipsi
Toledo Rockets                            toledo roketsi
Central Michigan Chippewas                sentral miCigan Cipevasi
Evansville Purple Aces                    evansvil ferfl eisi
Creighton Bluejays                        kreiton blujeisi
Charleston Southern Buccaneers            Carlston souTern bukanersi
Winthrop Eagles                           uinTrop iglsi
Chicago State Cougars                     Cikago sTeiT kugarsi
Eastern Kentucky Colonels                 istern kentuki qolonelsi
Duke Blue Devils                          diuk blu devilsi
N.C. State Wolfpack                       Cr. karolina st.
Maryland Terrapins                        merilend terapinsi
Virginia Cavaliers                        virjinia kavaliersi
North Dakota State Bison                  norT dakota sTeiT bisoni
Utah Valley State Wolverines              iuta valei sTeiT volverinsi
Northern Illinois Huskies                 norTern ilinois haskisi
Eastern Michigan Eagles                   istern miCigan iglsi
Texas Tech Red Raiders                    teqsas teq red raidersi
Colorado Buffaloes                        kolorado bafalozi
Penn State Nattiny Lions                  pen sTeiT netini laionsi
Michigan Wolverines                       miCigan vulverinsi
South Florida Bulls                       souT florida bulsi
DePaul Blue Demons                        depol blu demonzi
Vanderbilt Commodores                     vanderbilt komodorsi
Tennessee Volunteers                      tenesi voluntersi
Colorado State Rams                       kolorado sTeiT remsi
Air Force Falcons                         eir fors falkonsi
Charlotte Bobcats                         Sarlot bobqetsi
Memphis Grizzlies                         memfis grizlisi
Detroit Pistons                           detroit pistonsi
Miami Heat                                maiami hiti
Boston Celtics                            boston seltiksi
New York Knicks                           niu iork niksi
Phoenix Suns                              feniqs sansi
Milwaukee Bucks                           miluok baqsi
Dallas Mavericks                          dalas maveriki
New Orleans Hornets                       niu orleans horneTsi
New Jersey Nets                           niu jersi netsi
Houston Rockets                           hiuston roketsi
Portland Trailblazers                     portlend Traibleizersi
Cleveland Cavaliers                       klivlend kavaliersi
Washington Wizards                        vaSington vizardsi
Golden State Warriors                     golden sTeiT uoriorzi
Oklahoma City Thunder                     oklahoma siTi Tanderi
L. A. Clippers                            l. a. klipersi
L. A. Lakers                              l. a. leikersi
Buducnost                                 buduCnosti
Cibona                                    cibona
FMP BC                                    fmp
Helios Domzale                            helios domJale
Zadar                                     zadari
Krka                                      krka
Hemofarm                                  hemofarmi
Zagreb                                    zagrebi
Union Olimpija                            union olimpia
Estudiantes                               estudiantesi
DKV Joventut                              dkv ioventuti
Fuenlabrada                               fuenlabrada
Unicaja                                   unikaha
Bonn                                      boni
Brose                                     broze
ALBA                                      alba
Aris BSA                                  aris bsa
Olympiacos CFP                            olimpiakosi
Panathinaikos                             panaTinaikosi
Kolossos Rhodes                           kolosos rodesi
AEK                                       aek
AEL 1964                                  ael 1964
Panellinios                               paneliniosi
PAOK                                      paok
AS Trikala                                trikala
Efes Pilsen                               efes pilseni
Banvit                                    banviti
Turk Telekom                              turk telekomi
Besiktas                                  beSiqtaSi
Oyak Renault                              oiak reno
Galatasaray                               galaTasarai
Kotwica Kolobrzeg                         kotvika kolobrzegi
Energa Czarni Slupsk                      energa Carni slupski
Czarni Slupsk                             Carni slupski
PBG Poznan                                pbg poznani
Anwil Wloclawek                           anvil vloclaveki
Polpharma Starogard Gdanski               polfarma
Starogard Gdanski                         polfarma
Enisey Krasnoyarsk                        enisei krasnoiarski
Spartak Primorie                          spartak primorie
Dynamo Moscow                             dinamo moskovi
CSKA Moscow                               cska moskovi
Spartak St. Petersburg                    spartak peterburgi
Khimki                                    ximki
Geofin Novy Jicin                         geofin novi jicini
BK Breda &amp; Weinstein Opava            breda-vainStain opava
Pardubice                                 pardubice
Decin                                     deCini
BC Kolin                                  kolini
Prostejov                                 proSteiovi
Nymburk                                   nimburki
USK Prague                                usk praRa
Asker Aliens                              asker aliensi
Ammerud                                   amerudi
Azovmash Mariupol                         azovmaS mariupoli
BC Khimik                                 ximiki
Michigan State Spartans                   miCigan sTeiT spartansi
Northwestern Wildcats                     norTvestern vaildqetsi
Bucknell Bison                            baknel bisoni
Lefayette Leopards                        lefaet leopardsi
Buffalo Bulls                             bufalo bulzi
Kent State Golden Flashes                 kent sTeiT golden fleSsi
Central Florida Golden Knights            sentral florida naiTsi
Southern Miss. Golden Eagles              souTern misi
Charleston Cougars                        Carlston kugarsi
Appalachian State Mountaineers            apalaCian sTeiT maunTenersi
Colgate Raiders                           kolgeiT raidersi
Lehigh Mountain Hawks                     lehai maunTen houqsi
Connecticut Huskies                       konektikut hasksi
Villanova Wildcats                        vilanova vaildqetsi
Davidson Wildcats                         davidson vaildqetsi
Furman Paladins                           furman paladinsi
Georgia State Panthers                    jorjia sTeiT panTersi
Virginia Commonwealth Rams                virjinia qomonvelT ramsi
Hofstra Pride                             hofstra praidi
William &amp; Mary Tribe                  viliam-meri Traibi
Indiana State Sycamores                   indiana sTeiT sisamoresi
Southern Illinois Salukis                 souTern ilinois salukisi
James Madison Dukes                       jeims madison diuksi
Towson Tigers                             Touson Taigersi
La Salle Explorers                        la sal eqsplorersi
Pennsylvania Quakers                      pensilvania quakersi
Longwood Lancers                          longvud lansersi
Southern Virginia Knights                 sauTern virjinia naiTsi
Marshall Thundering Herd                  marSal Tandering herdi
Southern Methodist Mustangs               souTern meTodist mustangsi
N.J.I.T. Highlanders                      n.j.i.t. hailendersi
Bryant Bulldogs                           braiant buldogsi
Navy Midshipmen                           neivi midSipmeni
