Russian Captions                          Georgian Captions
Фенербахче                                fenerbaxCe
Галатасарай                               galaTasarai
Енисей                                    enisei
Красные Крылья                            krasnie krilia
Китай                                     CineTi
Звёзды Америки                            amerika starsi
Венгрия                                   ungreTi
Болгария                                  bulgareTi
Украина                                   ukraina
Нидерланды                                holandia
Италия                                    italia
Бельгия                                   belgia
КРКА                                      krka
Олимпия                                   olimpia
Окленд Пайрэтс                            oklend pairetsi
Ваикато Пистонс                           vaikato pistonsi
Румыния                                   rumineTi
Албания                                   albaneTi
Босния и Герцеговина                      bosnia hercogovina
Умана Венеция                             umana venecia
Прима Вероли                              prima veroli
Партизан                                  partizani
Гемофарм                                  gemofarmi
Португалия                                portugalia
Словения                                  slovenia
Нимбурк                                   nimburki
Простежов                                 prosteJovi
Турция                                    TurqeTi
Черногория                                Cernogoria
Черногория 2                              Cernogoria 2
Чехия                                     CexeTi
Хорватия                                  xorvatia
Бэй Хокс                                  bei hoksi
Сандрингам Сабрес                         sandringam sabresi
Маунт Гэмбер                              maunT gemberi
Греция                                    saberZneTi
Хобарт Чаргерс                            hobart Cargersi
НВ Тасмания                               tasmania
Испания                                   espaneTi
УНИКС                                     uniksi
Локомотив-Кубань                          lokomotiv-yubani
Зироуфиз Саутлэнд Шаркс                   ziroufiz sauTlend Sarksi
Отаго Нагитс                              otago nagitsi
Нельсон Джайнтс                           nelson Jaintsi
Таранаки Маунтин Эарз                     taranaki maunTin earzi
Спартак СПб                               spartaki spb
Канберра Ганнерс                          kanbera ganersi
Албери Водонга                            alberi vodonga
Джелонг Суперкэтс                         jelong superqeTsi
Бендиго Брэйвес                           bendigo breivesi
Нокс Райдерс                              noqs raidersi
Нокс Рейдерс                              noqs reidersi
Килсит Кобрас                             kilsit kobrasi
Нунавэйдинг Спектрс                       nunaveiding speqtrsi
Баларат Минерс                            balart minersi
Дерби Эйс Льямадос                        derbi eis liamadosi
Рейн Пейнтерс                             rein feintersi
БК Нижний Новгород                        niJni novgorodi
Нантерр                                   nanteri
Дижон                                     diJoni
Россия                                    ruseTi
Канада                                    kanada
Франция                                   safrangeTi
Франция 2                                 safrangeTi 2
Беларусь                                  belorusia
ЦСКА                                      cska
Химки                                     ximki
Германия                                  germania
Германия 2                                germania 2
Фаствеб Казале                            fastveb kazale
Коннектикут                               konektikuti
Тулса                                     tulsa
Япония                                    iaponia
Альба                                     alba
Брозе                                     broze
Бильбао                                   bilbao
Барселона                                 barselona
Китайский Тайпей                          CineTis taipei
Китайский Тайбэй                          CineTis taibei
Эир21 Экспресс                            eir21 eqspresi
Юж. Корея                                 samx. korea
Толк Н Текст                              tolk en teqsti
Аляска Эйсес                              aliaska eisesi
Канту                                     kantu
Монтепаски                                montepaski
Манавату Джетс                            manavatu jeTsi
Веллингтон Сейнтс                         velington seintsi
Пауэрейд Тайгерс                          pauereid Taigersi
Бразилия                                  brazilia
Петрон Блэйз Бустерс                      petron bleiz bustersi
Миннесота                                 minesota
Атланта                                   atlanta
Чикаго                                    Cikago
Нью-Йорк                                  niu-iorki
Сиэтл                                     sietli
Индиана                                   indiana
Финикс                                    feniqsi
Сан-Антонио                               san-antonio
Данденонг Рэнджерс                        dandenong reinjersi
Брисбен Спартанс                          brisben spartansi
Мералко Болтс                             meralko boltsi
Фрэнкстон Блюз                            frenkston bliuzi
Латвия                                    latvia
Литва                                     litva
Великобритания                            didi britaneTi
Израиль                                   israeli
Словакия                                  slovakeTi
Гинебра Кингс                             ginebra kingsi
Сентрал Дистриктс Лайонс                  sentral distriqts laionsi
Саут Аделаида Пантерс                     sauT adelaida pantersi
Вудвилль Уорриорс                         vudvil uoriorsi
Австралия                                 avstralia
Новая Зеландия                            axali zelandia
Индонезия                                 indonezia
Сингапур                                  singapuri
Малайзия                                  malaizia
Филиппины                                 filipinebi
США                                       aSS
Лос-Анджелес                              los-anjelesi
Аргентина                                 argentina
Эквадор                                   ekvadori
Перу                                      peru
Уругвай                                   urugvai
Польша                                    poloneTi
Тунис                                     tunisi
Сербия                                    serbeTi
Египет                                    egvipte
Чили                                      Cile
Колумбия                                  kolumbia
Вашингтон                                 vaSingtoni
Эстония                                   estoneTi
Австрия                                   avstria
Швеция                                    SvedeTi
Македония                                 makedonia
Андорра                                   andora
Уэльс                                     uelsi
Сан-Марино                                san marino
Мальта                                    malta
Люксембург                                luqsemburgi
Швейцария                                 Sveicaria
Грузия                                    saqarTvelo
Финляндия                                 fineTi
Норвегия                                  norvegia
Исландия                                  islandia
Дания                                     dania
Иран                                      irani
Англия                                    inglisi
Гибралтар                                 gibraltari
Молдавия                                  moldova
Ангола                                    angola
Кипр                                      kviprosi
Ирландия                                  irlandia
Иордания                                  iordania
Монако                                    monako
Армения                                   somxeTi
Азербайджан                               azerbaijani
Кот д'Ивуар                               kot diuari
ЮАР                                       sar
Камерун                                   kameruni
Сенегал                                   senegali
Руанда                                    ruanda
Того                                      togo
Чад                                       Cadi
Южная Австралия                           samxreT avstralia
Норвуд Флеймз                             norvud fleimzi
Доминиканская Республика                  dominikis respublika
Куба                                      kuba
Венесуэла                                 venesuela
Пуэрто-Рико                               puerto-riko
Парагвай                                  paragvai
Панама                                    panama
Мали                                      mali
Конго ДР                                  kongo
Зимбабве                                  zimbabve
Нигерия                                   nigeria
Кения                                     kenia
Алжир                                     alJiri
Мозамбик                                  mozambiki
Индия                                     indoeTi
Катар                                     katari
Узбекистан                                uzbekeTi
ОАЭ                                       a.g.e.
Бахрейн                                   bahreini
Ливан                                     libani
Кабо-Верде                                kabo-verde
Брауншвейг                                braunSveigi
Олденбург                                 oldenburgi
Гёттинген                                 giotingeni
Эртланд                                   ertlandi
Сирия                                     siria
Жальгирис                                 Jalgirisi
ВЭФ Рига                                  vef riga
Рудупис                                   rudupisi
Оберварт                                  obervarti
Фюрстенфельд                              fiurstenfeldi
Калев                                     kalevi
Трайскирхен                               traiskirheni
Университет Тарту                         univesritet tartu
Сванс Гмунден                             svans gmundeni
Таррагона                                 taragona
Ла Пальма                                 la palma
Мексика                                   meqsika
Ямайка                                    iamaika
Лукойл Академик                           lukoil akademiki
Астана                                    astana
Астана 2                                  astana 2
Пиринто                                   pirinto
Корихаит                                  korihaiti
Пардубице                                 pardubice
БК Опава                                  opava
ТоПо                                      topo
Цибона                                    cibona
Шоле                                      Sole
Днепр                                     dnepri
Литувос Ритас                             lituvos ritasi
Будучность                                buduCnosti
Шарлеруа                                  Sarlerua
Донецк                                    donecki
ПАОК                                      paoki
Туров                                     turovi
Каухайоен Карху                           kauhaioen karhu
Салон Вильпас                             salon vilpasi
Вентспилс                                 ventspilsi
Лиепаяс Лаувас                            liepaias lauvasi
Лион-Виллербанн                           lion-vilerbani
Гравелин                                  gravelini
Каха Лабораль                             kaxa laborali
Банвитспор                                banvitspori
Реал М                                    reali m
Анвил Влоцлавек                           anvil vloclaveki
Каунас                                    kaunasi
Эфес Пилсен                               efes pilseni
Панатинаикос                              panaTinaikosi
Гюссинг                                   giusingi
Вена                                      vena
Раиффайзен Вельс                          raifaizen velsi
Нептунас                                  neptunasi
Техасас                                   teqsasasi
Химик                                     ximiki
Одесса                                    odesa
Черкасские Обезьяны                       Cerkaskie obeziani
Черкасские Обезьяны 2                     Cerkaskie obeziani 2
Политехника-Галичина                      politexnika-galiCina
Острава                                   ostrava
Дечин                                     deCini
УСК Прага                                 usk praRa
Интер Братислава                          inter bratislava
Колин                                     kolini
Локомотив Пльзень                         lokomotiv plzeni
