Barcelona                                        barselona
Villarreal                                       viliareali
Real Sociedad                                    real sosiedadi
Atletico Madrid                                  madridis atletiko
Sevilla                                          sevilia
Athletic Bilbao                                  aTletik bilbao
Hamburger SV                                     hamburgi
Hertha Berlin                                    herta
Notts County                                     noTs qaunti
Grimsby Town                                     grimsbi Tauni
St. Johnstone                                    sent jonstoni
Inverness CT                                     invernesi
Athletico Paranaense                             aTletiko paranaense
Avai                                             avai
Montreal                                         monreali
Real Salt Lake                                   real solt leiqi
Charlotte                                        Sarloti
Vancouver Whitecaps                              vankuveri
New York City                                    niu iork siTi
Chicago Fire                                     Cikago
Inter Miami                                      inter maiami
New York Red Bulls                               niu-iork red bulzi
Dallas                                           dalasi
Minnesota United                                 minesota iunaitedi
San Jose Earthquakes                             san xose ertkveiqsi
Sporting Kansas City                             kanzas siTi
Austin                                           ostini
Orlando City                                     orlando siTi
Colorado Rapids                                  kolorado
Seattle Sounders                                 sietl saundersi
LA Galaxy                                        los anjeles gelaqsi
Houston Dynamo                                   dinamo hiustoni
Portland Timbers                                 portlend Timbersi
Philadelphia Union                               filadelfia iunioni
GIF Sundsvall                                    sundsvali
Mjaellby                                         mialbiu
Pharco                                           farko
HIFK                                             hifk
KuPS                                             kups kuopio
WSG Tirol                                        tiroli
LASK                                             lask
Drogheda United                                  drogheda iunaitedi
Shamrock Rovers                                  Semrok roversi
Shelbourne                                       Selburni
UCD                                              uk dublini
Sligo Rovers                                     sligo roversi
Derry City                                       deri siTi
St. Patrick's Athletic                           st. patriki
Bohemian                                         bohemiani
Finn Harps                                       fin harpsi
Dundalk                                          dandolki
Fredericia                                       frederika
AC Horsens                                       ak horsensi
Hvidovre                                         hvidovre
Helsingoer                                       helsingiori
Nykoebing                                        niukiobingi
Lyngby                                           lengbiu
Grorud                                           grorudi
Bryne                                            brini
KFUM Oslo                                        kfum
Kongsvinger                                      konsvingeri
Ranheim                                          ranheimi
Start                                            starti
Sandnes                                          sandnesi
Mjoendalen                                       mondaleni
Skeid                                            skeidi
Stjoerdals Blink                                 stiordals blinki
Qatar                                            katari
Jordan                                           iordania
Belgium                                          belgia
Turkey                                           TurqeTi
Spain                                            espaneTi
Serbia                                           serbeTi
Portugal                                         portugalia
Denmark                                          dania
Sweden                                           SvedeTi
Scotland                                         Sotlandia
KS Korabi                                        korabi
Apolonia                                         apolonia
Bravos DO Maquis                                 bravos do maqisi
CD Huila                                         uila
Petroleos Do Lobito                              akademika lobito
Kuando Kubango                                   kuando kubango
Recreativo do Libolo                             libolo
Petro Atletico                                   petro atletiko
Sagrada Esperanca                                sagrada esperansa
CR Caala                                         kaala
Sporting Cabinda                                 sporting kabinda
Primeiro de Agosto                               de agosto
Wiliete SC                                       viliet sk
GD Interclube                                    gd interklubi
Sporting de Benguela                             sporting de bengela
Chacarita Juniors                                Cakarita
Sacachispas                                      sakaCispasi
Atletico Guemes                                  atletiko gemesi
Deportivo Moron                                  moroni
San Martin de Tucuman                            san martin de tukumani
Tristan Suarez                                   tristan suaresi
Deportivo Riestra                                deportivo riestra
Temperley                                        temperlei
Juventud Antoniana                               antoniana
San Martin de Formosa                            san martin de formoza
Deportivo Muniz                                  deportivo munisi
Yupanqui                                         iupanqi
Deportivo Espanol                                deportivo espanioli
Comunicaciones                                   komunikacionesi
Rosario Central                                  rosario sentrali
Excursionistas                                   ekskursionistasi
Bangladesh Police Club                           bangladeS polisi
Vitoria                                          vitoria
Confianca                                        konfiansa
Aparecidense                                     aparesidense
Floresta                                         floresta
Paysandu                                         paisandu
Volta Redonda                                    volta redonda
Moto Club MA                                     moto qlab ma
Fluminense PI                                    fluminense pi
Brasiliense                                      braziliense
Atletico MG                                      atletiko mineiro
CE Lajeadense                                    laJeadense
Pelotas                                          pelotasi
Edmonton                                         edmontoni
Atletico Ottawa                                  atletiko otava
Atletico Nublense                                atletiko nublensi
Curico Unido                                     kuriko unido
Cobreloa                                         kobreloa
CD Arturo Fernandez Vial                         fernandez viali
Melipilla                                        melipilia
Deportes Santa Cruz                              deportes santa kruzi
Barnechea                                        barneCeia
Deportes Temuco                                  deportes temuko
Millonarios                                      milonariosi
Bucaramanga                                      bukaramanga
Llaneros                                         lanerosi
Leones                                           leonesi
Real Cartagena                                   real kartaxena
Chico                                            Ciko
Asociacion Deportivo Cali                        deportivo kali
Independiente Santa Fe                           santa fe
Atletico Vega Real                               vega reali
Waterhouse                                       uoterhausi
Cibao                                            sibao
Violette AC                                      violeti
Deportiva Carmelita                              karmelita
Puntarenas                                       puntarenasi
CSD Macara                                       makara
Tecnico Universitario                            teqniko universitario
Aucas                                            aukasi
Barcelona SC                                     barselona guaiaqili
Independiente del Valle                          independiente del vale
Mushuc Runa                                      muSuk runa
Chacaritas                                       Cakaritasi
El Zamalek                                       zamaleki
Aswan                                            asvani
Alianza                                          alianza
CD Platense Municipal                            platense
Isidro Metapan                                   metapani
CD Luis Angel Firpo                              luis anxel firpo
Wolverhampton Wanderers                          vulverhemptoni
Stoke City                                       stok siTi
Tulevik Viljandi                                 tuleviki
Harju Jalgpallikool                              hariu ialgpalikooli
Bahir Dar Kenema                                 bahir dar kenema
Sidama Bunna SC                                  sidama
Hadiya Hosahina                                  hadia hosaina
Wolkite City                                     uolkite siTi
Defence Force                                    defens forsi
Dire Dawa Kenema                                 dire daua
Ki Klaksvik II                                   ki II
NSI Runavik II                                   nsi II
CSD Municipal                                    municipali
Guastatoya                                       guastatoia
CD Motagua                                       motagua
Real Espana                                      real ispana
IBV Vestmannaeyjar                               vestmanaeiari
Thor Ka Akureyri                                 Tor ka akiureiri
Keflavik                                         keflaviki
Throttur Reykjavik                               trotur reikiaviki
KR Reykjavik                                     kr reikiaviki
Afturelding Mosfellsbaer                         afturelding mosfedlsbairi
Hapoel Marmorek Rehovot                          hapoel marmorek rehovoti
Kiryat Gat                                       kiriaT gati
Hapoel Nir Ramat HaSharon                        hapoel ramat haSaroni
Hapoel Beer Sheva                                hapoel beer Seva
Hapoel Raanana                                   hapoel raanana
Maccabi Kishronot Hadera                         makabi kiSronot hadera
Bnot Netanya                                     bnot neTania
Maccabi Bnot Emek Hefer                          bnot emek heferi
Humble Lions                                     hambl laionsi
Vere United                                      vere iunaitedi
Mount Pleasant                                   maunT plezanti
Tivoli Gardens                                   tivoli gardensi
Al-Salmiyah                                      al-salmia
Kazma                                            kazma
Metta                                            meta
Riga                                             riga
SK Super Nova                                    super nova
RFS                                              rfs
Panevezys B                                      paneveJisi b
Zalgiris Vilnius B                               Jalgirisi b
Pachuca                                          paCuka
America                                          amerika
Atlante                                          atlante
Odds Ballklubb 2                                 odd II
Sotra Sportsklubb                                sotra
Valerenga IF 2                                   volerenga II
Ull/Kisa                                         ull/kisa
Ready                                            redi
Stabaek 2                                        stabeki II
Aalesund 2                                       alesundi 2
Floroe                                           floro
Spjelkavik                                       spielkaviki
Hoenefoss                                        honefosi
Brumunddal                                       brumundali
Lillehammer                                      lilehameri
Brodd                                            brodi
Sola                                             sola
Randesund                                        randesundi
Express                                          eqspresi
