Marion Bartoli                            m. bartoli
Flavia Pennetta                           f. peneta
Nicolas Massu                             n. masu
Tomas Berdych                             t. berdiSi
Mikhail Youzhny                           m. iuJni
Francesca Schiavone                       f. skiavone
Svetlana Kuznetsova                       s. kuznecova
Mahesh Bhupathi                           m. bxupati
Leander Paes                              l. paesi
L. Paes                                   l. paesi
Jie Zheng                                 Z. CJeni
Lisa Raymond                              l. reimondi
Dmitry Tursunov                           d. tursunovi
Paul-Henri Mathieu                        p-h. maTie
Shuai Peng                                S. pengi
Richard Gasquet                           r. gaske
R. Gasquet                                r. gaske
Fernando Verdasco                         f. verdasko
Julien Benneteau                          J. benete
Juergen Melzer                            i. melceri
Michael Llodra                            m. lodra
Jelena Jankovic                           e. iankoviCi
Cara Black                                k. bleqi
Nadia Petrova                             n. petrova
Jill Craybas                              j. kreibasi
Jarkko Nieminen                           i. niemineni
Nikolay Davydenko                         n. davidenko
Lleyton Hewitt                            l. hiuiti
L. Hewitt                                 l. hiuiti
Lindsay Lee-Waters                        l. li-uotersi
Maria Sharapova                           m. Sarapova
M. Sharapova                              m. Sarapova
Daniela Hantuchova                        d. hantuxova
D. Hantuchova                             d. hantuxova
Katarina Srebotnik                        k. srebotniki
Kirsten Flipkens                          k. flipkensi
K. Flipkens                               k. flipkensi
Maria Elena Camerin                       m. e. kamerini
Radek Stepanek                            r. Stefaneki
Marcos Baghdatis                          m. bagdatisi
Roger Federer                             r. federeri
Janko Tipsarevic                          i. tipsareviCi
Nicolas Mahut                             n. maiu
David Ferrer                              d. fereri
Ferrer, David                             d. fereri
Alex Bogdanovic                           a. bogdanoviCi
Max Mirnyi                                m. mirni
Potito Starace                            p. staraCe
Xavier Malisse                            k. malisi
Tamarine Tanasugarn                       t. tanasugarni
Anna-Lena Groenefeld                      a. l. gronfildi
Florian Mayer                             f. maieri
Juan Monaco                               x. monako
Roberta Vinci                             r. vinCi
Albert Montanes                           a. montaniesi
Philipp Kohlschreiber                     f. kolSraiberi
Kohlschreiber                             kolSraiberi
Tommy Haas                                t. haasi
Wayne Odesnik                             u. odesniki
Victor Hanescu                            v. hanesku
Hyung-Taik Lee                            h. t. li
Alexander Peya                            a. peia
Danai Udomchoke                           d. udomCouki
Tommy Robredo                             t. robredo
Andreas Seppi                             a. sepi
Yen-Hsun Lu                               i-h. lu
Filippo Volandri                          f. volandri
Rajeev Ram                                r. rami
Rafael Nadal                              r. nadali
R. Nadal                                  r. nadali
Nadal, Rafael                             r. nadali
Maria Kirilenko                           m. kirilenko
Melinda Czink                             m. Sinki
Samantha Stosur                           s. stosuri
Virginie Razzano                          v. razano
Abigail Spears                            a. spirsi
Catalina Castano                          k. kastano
Alejandro Falla                           a. fala
Prakash Amritraj                          p. amritraji
Marco Chiudinelli                         m. kiudineli
Marta Domachowska                         m. domaxovska
Novak Djokovic                            n. jokoviCi
Djokovic, Novak                           n. jokoviCi
Stanislas Wawrinka                        s. vavrinka
S. Wawrinka                               s. vavrinka
Wawrinka, Stanislas                       s. vavrinka
Alessio Di Mauro                          a. di mauro
Na Li                                     n. li
Alexandre Massa                           a. masa
Daniele Bracciali                         d. braCiali
