Russian Captions                          Georgian Captions
Украина                                   ukraina
Польша                                    poloneTi
Черногория                                Cernogoria
Швеция                                    Svecia
Австрия                                   avstria
Германия                                  germania
Беларусь                                  belorusia
Дания                                     dania
Босния и Герцеговина                      bosnia hercogovina
Венгрия                                   ungreTi
Португалия                                portugalia
Словения                                  slovenia
Литва                                     litva
Испания                                   espaneTi
Израиль                                   israeli
Словакия                                  slovakeTi
Латвия                                    latvia
Россия                                    ruseTi
Исландия                                  islandia
Швейцария                                 Sveicaria
Румыния                                   rumineTi
Хорватия                                  xorvatia
Македония                                 makedonia
Франция                                   safrangeTi
Норвегия                                  norvegia
Нидерланды                                holandia
Чехия                                     CexeTi
Бенин                                     benini
Египет                                    egvipte
Аргентина                                 argentina
Венесуэла                                 venesuela
Катар                                     katari
Тунис                                     tunisi
Сербия                                    serbeTi
Иран                                      irani
Канада                                    kanada
Алжир                                     alJiri
Юж. Корея                                 samx. korea
Бразилия                                  brazilia
Чили                                      Cile
Греция                                    saberZneTi
Сунгуль                                   sunguli
Каустик                                   kaustiki
Скиф-Кубань                               skif-yubani
Мотор-ЗНТУ-ЗАС                            motor-zntu-zas
Заря Каспия                               zaria kaspia
Пермские медведи                          permskie medvedi
Клуж-Напока                               kluJ-napoka
Залау                                     zalau
Бухарест ЦСМ                              csm buqaresti
Константа                                 konstanta
Динамо Брашов                             dinamo braSovi
ЗТР Запорожье                             ztr zaporoJie
РГУФК-Чеховские медведи                   rgufk-Cexovskie medvedi
Кубань                                    yubani
Астраханочка                              astraxanoCka
Политехник Донецк                         polinexnik donecki
Гамбург                                   hamburgi
ТХВ Киль                                  txv kili
АГУ-Адыиф                                 agu-adiifi
Ростов-Дон                                rostov-doni
ЗНТУ-ЗАС                                  zntu-zas
Партизан Белград                          belgradis partizani
АЕК                                       aek
Копенгаген АГ                             ag kopenhageni
Скьерн                                    skierni
Савехоф                                   savehofi
Бешикташ                                  beSiqTaSi
Балинген-Вайльштеттен                     balingen-vailiSteteni
Гуммерсбах                                humersbaxi
Ветцлар                                   vetclari
Айнтрахт                                  aintraxti
Ганновер-Бургдорф                         hanover-burgdorfi
Фюхзе Берлин                              fiuxze berlini
