Columbus Blue Jackets                     kolumbus blu jaketsi
New Jersey Devils                         niu jersi devilsi
Atlanta Thrashers                         atlanta treSersi
Boston Bruins                             boston bruinsi
St. Louis Blues                           st. luis bluzi
New York Islanders                        niu iork ailendersi
Washington Capitals                       vaSington kapitalsi
Florida Panthers                          florida pantersi
Buffalo Sabres                            bufalo seibrzi
Tampa Bay Lightning                       tampa bei laiTningi
Dallas Stars                              dalas starsi
Toronto Maple Leafs                       toronto meipl lifsi
Carolina Hurricanes                       karolina hurikansi
Chicago Blackhawks                        Cikago bleqhouqsi
Minnesota Wild                            minesota uaildi
Nashville Predators                       naSvil predatorsi
Linkoping                                 linCepingi
Farjestad                                 feriestadi
HV 71                                     hv 71
Lulea                                     luleo
Amur Khabarovsk                           amur xabarovski
Lada Togliatti                            lada toliati
Metallurg Novokuznetsk                    metalurg novokuznecki
Ak Bars Kazan                             ak bars kazani
Sibir Novosibirsk                         sibir novosibirski
Neftehimik Niznekamsk                     neftximik niJnekamski
Metallurg Magnitogorsk                    metalurg magnitogorski
SKA St. Petersburg                        ska peterburgi
Salavat Ulaev UFA                         salavat iuliaev ufa
Salavat Yulaev Ufa                        salavat iuliaev ufa
Severstal Cherepovec                      severstali
Severstal Cherepovets                     severstali
Atlant                                    atlanti
Barys Astana                              baris astana
Dynamo Moscow                             dinamo moskovi
Vityaz                                    vitiazi
Spartak Moscow                            moskovis spartaki
Dinamo Minsk                              dinamo minski
CSKA Moscow                               cska moskovi
Khimik Voskresensk                        ximik voskresenski
Dinamo Riga                               dinamo riga
Lokomotiv Yaroslavl                       lokomotiv iaroslavli
Montreal Canadiens                        monreal kanadiensi
New York Rangers                          niu iork reinjersi
Anaheim Ducks                             anahaim daqsi
Ottawa Senators                           otava senatorsi
Pittsburgh Penguins                       pitsburg pingvinzi
Los Angeles Kings                         los anjeles kingsi
Edmonton Oilers                           edmonton oilersi
Phoenix Coyotes                           feniqs koiotsi
Detroit Red Wings                         detroit red vingzi
San Jose Sharks                           san xose Sarksi
Vancouver Canucks                         vankuver kenaksi
V.Frolunda                                v.frolunda
Sodertalje                                sodertali
HIFK                                      hifk
Pelicans                                  pelikansi
HPK                                       hpk
Ilves                                     ilvesi
Karpat                                    kerpeti
Lukko                                     luko
SaiPa                                     saipa
KalPa                                     kalpa
Tappara                                   tapara
Blues                                     bluzi
TPS                                       tps
JYP                                       jip
Sparta                                    sparta
Karlovy Vary                              karlovi vari
Torpedo                                   torpedo
Avangard Omsk                             avangard omski
Hamburg Freezers                          hamburg frizersi
Grizzly Adams Wolfsburg                   volfsburgi
Grizzlys Wolfsburg                        grizli volfsburgi
Hannover Scorpions                        hanover skorpionsi
ERC Ingolstadt                            ingolStadti
Kassel Huskies                            kaseli
Dusseldorfer EG                           diuseldorferi
Eisbaren Berlin                           eisbaren berlini
Eisbaeren Berlin                          eisbaren berlini
Davos                                     davosi
Rapperswil-Jona Lakers                    repersvil-jona leikersi
Servette                                  serveti
Lugano                                    lugano
Acroni Jesenice                           akroni iesenice
