Russian Captions                          Georgian Captions
ХК Минск                                  minski
СК Партилле                               partile
Копенгаген                                kopenhageni
Имиттос                                   imitosi
Клуб де Кампо                             klub de kampo
Рединг                                    redingi
ХГС                                       xgs
Оранжье Зварт                             oranJe zvarti
Авто                                      avto
Кузнецкие Медведи                         kuzneckie medvedi
Сибирские Снайперы                        sibirskie snaiperi
Снежные Барсы                             sneJnie barsi
Кристалл Бердск                           kristal berdski
Мытищинские Атланты                       mitiSinskis atlantebi
СКА-1946                                  ska-1946
Алмаз                                     almazi
ХК Рига                                   riga
Тренчин                                   trenCini
Франция                                   safrangeTi
Комета Брно                               kometa brno
СКА                                       ska
ХК МВД                                    mvd
Серебряные Львы                           serebrianie lvi
Млада Болеслав                            mlada boleslavi
Плзень                                    plzeni
Динамо Рига                               rigis dinamo
Сибирь                                    sibiri
Торос                                     torosi
Ижсталь                                   iJstali
Тршинец                                   trSineci
Красная Армия                             krasnaia armia
Амурские Тигры                            amurskie tigri
ХК Липецк                                 lipecki
ХК Рязань                                 riazani
Литвинов                                  litvinovi
Кладно                                    kladno
Скалица                                   skalica
Спартак М                                 spartaki m
Спишска Нова Вес                          spiSska nova vesi
Спишска-Нова-Вес                          spiSska nova vesi
Лев                                       levi
Спарта Пр                                 sparta pr
Лада Тл                                   lada tl
Капитан                                   kapitani
Русские Витязи                            ruskie vitiazi
МХК Спартак                               mxk spartaki
США                                       aSS
Финляндия                                 fineTi
Канада                                    kanada
Швеция                                    Svecia
Словакия                                  slovakia
Россия                                    ruseTi
Чехия                                     CexeTi
Швейцария                                 Sveicaria
Югра                                      iugra
Амур                                      amuri
Барыс                                     barisi
Казцинк-Торпедо                           kazcink-torpedo
Нитра                                     nitra
Донбасс                                   donbasi
МХК Мечел                                 mxk meCeli
Мамонты Югры                              mamonti iugri
Рубин                                     rubini
Белые Медведи                             belie medvedi
Олимпия                                   olimpia
ХК Саров                                  sarovi
Звезда                                    zvezda
Толпар                                    tolpari
Кошице                                    koSice
Злин                                      zlini
Металургc Лиепаяс                         metalurgs liepaiasi
ЦСКА                                      cska
Дизель                                    dizeli
Слован Братислава                         slovan bratislava
Кал Па                                    kal pa
ХВ-71                                     xv-71
Ферьестад                                 feriestadi
Зальцбург                                 zalcburgi
Фрелунда                                  frelunda
Айсбэрен                                  aisbereni
Юргорден                                  iurgordeni
Славия Пр                                 slavia pr
Вена                                      vena
Кэрпет                                    kerpeti
Пардубице                                 pardubice
Линчепинг                                 linCepingi
Торпедо НН                                nn torpedo
Хомутов                                   xomutovi
Жилина                                    Jilina
Витязь                                    vitiazi
ОХК Динамо                                oxk dinamo
Атлант                                    atlanti
ХИФК                                      xifk
Йокерит                                   iokeriti
