Russian Captions                          Georgian Captions
Сент-Джордж Дрегонс                       sent-jorj dregonsi
Голд Коуст Тайтенс                        gold qoust taitensi
Мэнли Си Иглс                             menli si iglsi
Норт Куинсленд Каубойс                    nort quinslend qauboisi
Брисбен Бронкос                           brisben bronkosi
Канберра Рейдерс                          kanbera raidersi
Канберра Рейдерс 2                        kanbera raidersi 2
Нью Зиланд Вориос                         niu ziland voriosi
Вест Тайгерс                              vest taigersi
Уоррингтон Вулвз                          uorington vulvzi
Селлфорд Сити Рэдз                        selford siti redzi
Халл ФК                                   hali
Харлекуинс Р.Л.                           harlequinsi r.l.
Каслфорд Тайгерс                          kaslford taigersi
Уиган Уорриорс                            uigan uoriorsi
Уэйкфилд Уайлдкэтс                        ueikfild uaildqeTsi
Хаддерсфилд Джаентс                       hadersfild Jaentsi
Брэдфорд Буллз                            bredford bulzi
Ст. Хеленс                                st. helensi
Лидс Райнос                               lids rainosi
Халл Кингстон Роверс                      hol kingston roversi
Мельбурн Сторм                            melburn Stormi
Сидней Рустерс                            sidnei rustersi
Румыния                                   rumineTi
ЮАР-2                                     samxreT afrika 2
Португалия                                portugalia
Намибия                                   namibia
Саут Сидней Ребитоус                      sauT sidnei rebitousi
Селтик Крузейдерс                         seltik kruzeidersi
Ньюкасл Найтс                             niukasl naiTsi
Пенрит Пантерс                            penrit pantersi
США                                       aSS
Россия                                    ruseTi
Каталанс Дрэгонс                          katalans dregonsi
Балдогс                                   baldogsi
Кронулла Шаркс                            kronula Sarqsi
Парраматта Ильс                           paramata ilsi
Франция                                   safrangeTi
Австралия                                 avstralia
Норт Харбор                               nort harbori
Тасман                                    tasmani
Каунтис Манукау                           qauntis manukau
Манавату                                  manavatu
Вайкато                                   vaikato
Таранаки                                  taranaki
Новая Зеландия                            axali zelandia
Фиджи                                     fiji
Бэй оф Пленти Стимерс                     bei of plenti sTimersi
Веллингтон                                velingtoni
Кантербэри                                kanterberi
Нортлэнд                                  nortlendi
Хокис Бэй                                 hokis bei
ЮАР                                       s.a.r.
Отаго                                     otago
Оклэнд                                    oklendi
Саутлэнд                                  sauTlendi
Шотландия                                 Sotlandia
Ирландия                                  irlandia
Лондон Айриш                              london airiSi
Харлекуинс                                harlequinsi
Лион                                      lioni
Тулуза                                    tuluza
Тонга                                     tonga
Ажен                                      aJeni
Байонна                                   baiona
Тулон                                     tuloni
Перпиньян                                 perpiniani
Брайв                                     braivi
Япония                                    iaponia
Уэльс                                     uelsi
Лондон Вэспс                              london vespsi
Лейстер Тайгерс                           leister Taigersi
Кастр                                     kastri
Монпелье                                  monpelie
Аргентина                                 argentina
Англия                                    inglisi
