Russian Captions                          Georgian Captions
Седжон                                    sejoni
Хвачхон КСПО                              xvaCxon kspo
Сувон Фасилитис                           suvon fasilitisi
Поын Санму                                poin sanmu
Самай Калян Келкуд                        samai kalian kelkudi
Пулчовк СК                                pulCovk sk
Жас Сункар                                Jas sunkari
Тараз                                     tarazi
Бахр-Дар Кетема                           baxr-dar ketema
Сидама                                    sidama
СХБ Да Нан II                             sxb da nan II
Куангнам II                               kuangnam II
Хайнам                                    xainami
ПВФ                                       pvf
Утрехт                                    utrexti
Зволле                                    zvole
Ультимейт                                 ultimeiti
Тун Разак                                 tun razaki
Хапоэль Марморек                          hapoel marmoreki
Кирьят-Гат                                kiriaT gati
Хапоэль Раанана                           hapoel raanana
Маккаби Кишронот Хадера                   makabi kiSronot xadera
Рамат Хашарон                             ramat xaSaroni
Хапоэль Беер-Шева                         hapoel beer-Seva
Смоленице                                 smolenice
Славия Трнава                             slavia trnava
Вильянди Тулевик                          viliandi tuleviki
Харью                                     xariu
Барнечеа                                  barneCea
Депортес Темуко                           deportes temuko
Волеренга II                              volerenga II
Улл/Киса                                  ull/kisa
Катар                                     katari
Иордания                                  iordania
Метта/ЛУ Рига                             meta/lu riga
Рига                                      riga
Шейд                                      Seidi
Стьордалс-Блинк                           stordals-blinki
Саннес                                    sanesi
Мьёндален                                 miondaleni
Ранхейм                                   ranheimi
Старт                                     starti
КФУМ                                      kfumi
Конгсвингер                               kongsvingeri
Гроруд                                    grorudi
Брюне                                     briune
Аль-Фейха                                 al-feixa
Дамк                                      damki
Фарко                                     farko
Эль Гуна                                  el guna
СОНИДЕП                                   sonidep
Эспоа Зиндер                              espoa zinderi
Ибар Рожае                                ibar roJae
Никшич                                    nikSiCi
Спарта                                    sparta
Кораби Пешкопия                           korabi peSkopia
Аполония                                  apolonia
Экспресс Февик                            eqspres feviki
Фредрикстад II                            fredrikstadi II
Ранденсунн                                randensuni
Сарпсборг 08 II                           sarpsborgi 08 II
Хёдд II                                   hiodi II
