Russian Captions                          Georgian Captions
Селезнев Б.                               b. selezniovi
Де Джагер Д.-Л.                           d.-l. de jageri
Базилевский В.                            v. bazilevski
Голденберг Л.                             l. goldenbergi
Бен Вайнтрауб                             b. veintraubi
Идо Самимян                               i. samimiani
Бондарь М.                                m. bondari
Фридлер А.                                a. fridleri
Эрика Лэйтон                              e. leitoni
Геворгян М.                               m. gevorgiani
Ерш Кс.                                   ks. erSi
Салибаева А.                              a. salibaeva
Невена Сокович                            n. sokoviCi
Аня Станкович                             a. stankoviCi
Мия Ристич                                m. ristiCi
Йована Груич                              i. gruiCi
Ковалева А.                               a. kovaleva
Лера Загинауко                            l. zaginauko
Сапир Коэн                                s. koeni
Дарья Шварцманн                           d. Svarcmani
Саиго Ю.                                  i. saigo
Алтори К.                                 k. altori
Мартина Кольменья                         m. kolmenia
Ван Боммел Р.                             r. van bomeli
Михайлова В.                              v. mixailova
Вероника Юдина                            v. iudina
Су Явуз З.                                z. su iavuzi
Дуру Кушчу                                d. kuSCu
Вердуго Х.                                x. verdugo
Фейза Эбраш Айдин                         f. e. aidini
Хильдербранд Т.                           t. hilderbrandi
Стойка В.                                 v. stoika
Беженару А.М.                             a. m. beJenaru
Алин Михаи Фату                           a. m. fatu
Николас Баррьентос                        n. barientosi
Риккардо Бальцерани                       r. balcerani
Франсиско Комесана                        f. komesana
Ян Бондаревский                           i. bondarevski
Матс Розенкранц                           m. rozenkranci
Джованни Фонио                            j. fonio
Рафаэль Йотис                             r. iotisi
Гоми А.                                   a. gomi
Сиаваш Ширдель                            s. Sirdeli
Викторио Маркизелли                       v. markizeli
Тимофей Дерепаско                         t. derepasko
Сендоган Э.                               e. sendogani
Перес Анна                                p. ana
Анна Турати                               a. turati
Далила Якупович                           d. iakupoviCi
Дзантедески А.                            a. Zantedeski
Кац Р.                                    r. kaci
Ори Барон                                 o. baroni
Костюк Мария                              k. maria
Сапфо Сакеллариди                         s. sakelaridi
Ортенси Х.                                x. ortensi
Лиза Пигато                               l. pigato
Алиса Соловьева                           a. soloviova
Гоундер С.                                s. gounderi
Питтман Э.                                e. pitmani
Картон Н.                                 n. kartoni
Бенджамин Хассан                          b. hasani
Юлиан Ленц                                i. lenci
Линда Носкова                             l. noskova
Эмма Радукану                             e. radukanu
Анетт Контавейт                           a. kontaveiti
Айла Томлянович                           a. tomlianoviCi
Гомбош Н.                                 n. gomboSi
Педро Качин                               p. kaCini
Микаэль Имер                              m. imeri
Джеймс Дакворт                            j. dakvorti
Маккензи Макдональд                       m. makdonaldi
Франко Агаменоне                          f. agamenone
Балаж А.                                  a. balaJi
Марин Чилич                               m. CiliCi
Миомир Кецманович                         m. kecmanoviCi
Томас Этчеверри                           t. etCeveri
Мартон Фучович                            m. fuCoviCi
Жоффруа Бланкано                          J. blankano
Анжелика Кербер                           a. kerberi
Магдалена Френх                           m. frenxi
Чжу Линь                                  lin CJu
Вероника Кудерметова                      v. kudermetova
Анна Каролина Шмидлова                    a. k. Smidlova
Кристина Кучова                           k. kuCova
Аттила Балаж                              a. balaJi
Норберт Гомбош                            n. gomboSi
Макаду Р.                                 r. makadu
Адриана Реами                             a. reami
Чакарова В.                               v. Cakarova
Алекса Грэм                               a. gremi
Эми Чжу                                   e. CJu
Чакарова Э.                               e. Cakarova
Ника Радишич                              n. radiSiCi
Валерия Страхова                          v. straxova
Кенна Эриксон                             k. eriksoni
Джонс Элизабет                            j. elizabeti
Мирелес Е.                                e. mirelesi
Шейнин Б.                                 b. Seinini
Браун К.                                  k. brauni
Рикуто Ямагути                            r. iamaguti
Асаба А.                                  a. asaba
Спенсер Брахман                           s. braxmani
Бьорн Свенсон                             b. svensoni
Дилан Цой                                 d. coi
Бенуа Пэр                                 b. peri
Илья Ивашко                               i. ivaSko
Ллойд Харрис                              l. harisi
Ришар Гаске                               r. gaske
Педро Мартинес Портеро                    p. m. portero
Хенри Лааксонен                           h. laaksoneni
Ирина-Камелия Бегу                        i.-k. begu
Жасмин Паолини                            J. paolini
Волынец К.                                k. volineci
Виктория Голубич                          v. golubiCi
Андреа Пеллегрино                         a. pelegrino
Лоренцо Джустино                          l. justino
Артур Риндеркнеш                          a. rinderkneSi
Александр Бублик                          a. bubliki
Аранча Рус                                a. rusi
Елена Рыбакина                            e. ribakina
Кэти Волынец                              k. volineci
Нефедова А.                               a. nefedova
Тифани Фике                               t. fike
Кристина Роска                            k. roska
Оуенсби Ш.                                S. ouensbi
Аквиле Паразинскайте                      a. parazinskaite
Саманта Кроуфорд                          s. kroufordi
Киара Шолль                               k. Soli
Оливия Грам                               o. grami
Новак Джокович                            n. jokoviCi
Ёсихито Нисиока                           i. nisioka
Хендерсон Х.                              h. hendersoni
Пэрри Л.                                  l. peri
Кристиан Гарин                            k. garini
Томми Пол                                 t. poli
Мэдисон Киз                               m. kizi
Анна Калинская                            a. kalinskaia
Себастьян Корда                           s. korda
Джон Миллман                              j. milmani
Эмма В.                                   v. ema
Дженна ДеФалко                            j. defalko
Эшли Лэйхи                                e. leixi
Анна Роджерс                              a. rojersi
Доминик Роллан                            d. rolani
