Russian Captions                          Georgian Captions
Вилла-Кортезе                             vila-korteze
Бергамо                                   bergamo
США                                       aSS
Перу                                      peru
Китай                                     CineTi
Германия                                  germania
Куба                                      kuba
Италия                                    italia
Нидерланды                                holandia
Россия                                    ruseTi
Болгария                                  bulgareTi
Чехия                                     CexeTi
Венгрия                                   ungreTi
Великобритания                            didi britaneTi
Словения                                  slovenia
Израиль                                   israeli
Юж. Корея                                 samx. korea
Греция                                    saberZneTi
Испания                                   espaneTi
Беларусь                                  belorusia
Румыния                                   rumineTi
Австрия                                   avstria
Бразилия                                  brazilia
Япония                                    iaponia
Сербия                                    serbeTi
Франция                                   safrangeTi
Хорватия                                  xorvatia
Бельгия                                   belgia
Аргентина                                 argentina
Багамские острова                         bahamis kunZulebi
Панама                                    panama
Венесуэла                                 venesuela
Доминиканская респ.                       dominikis resp.
Доминиканская Респ.                       dominikis resp.
Турция                                    TurqeTi
Мексика                                   meqsika
Пуэрто-Рико                               puerto-riko
Польша                                    poloneTi
Канада                                    kanada
Португалия                                portugalia
Кенсокай                                  kensokai
Филиппины                                 filipinebi
Тяньцзинь                                 tianczini
Чанг                                      Cangi
Жетысу Алматы                             Jetisu almati
Персеполис                                persepolisi
Льен-Вьет Банк                            lien-viet banki
Гаруда                                    garuda
Финляндия                                 fineTi
Тринидад и Тобаго                         trinidadi da tobago
Чили                                      Cile
Коста-Рика                                kosta-rika
Украина                                   ukraina
Словакия                                  slovakeTi
Иран                                      irani
Индия                                     indoeTi
Кипр                                      kviprosi
Катар                                     katari
Египет                                    egvipte
Тунис                                     tunisi
ПТК                                       ptk
Сумсел Бабел                              sumsel babeli
Аль-Райян                                 al-raiani
Сакай Блэйзерс                            sakai bleizersi
Алматы                                    almati
Паякан                                    paiakani
Шанхай                                    Sanxai
Пуэрто--Рико                              puerto-riko
Таиланд                                   tailandi
Казахстан                                 yazaxeTi
Казахстан (микс)                          yazaxeTi (miks)
КТГ                                       ktg
Хендэ                                     xende
Ури                                       uri
КЕПКО                                     kepko
ГС Кальтекс                               gs kalteqsi
ИБК                                       ibk
Латвия                                    latvia
Эстония                                   estoneTi
Хенкук                                    henkuki
КА Джамбос                                ka jambosi
Алжир                                     alJiri
Казахстан-2                               yazaxeTi-2
?Локомотив-Изумруд                         lokomotiv-izumrudi
Иску-Воллей                               isku-volei
Кузбасс                                   kuzbasi
Локомотив Новосибирск                     lokomotiv novosibirski
МГТУ                                      mgtu
Грозный                                   grozno
Никарагуа                                 nikaragua
Сальвадор                                 salvadori
