'Албани'		'Albania.gif'
'Алжир'			'Algeria.gif'
'Аргентин'		'Argentina.gif'
'Армени'		'Armenia.gif'
'Австрали'		'Australia.gif'
'Австри'		'Austria.gif'
'Азербайджан'		'Azerbaijan.gif'
'Беларус'		'Belarus.gif'
'Бельги'		'Belgium.gif'
'Боливи'		'Bolivia.gif'
'Босни'			'Bosnia-Herzegovina.gif'
'Бразили'		'Brazil.gif'
'Болгари'		'Bulgaria.gif'
'Канад'			'Canada.gif'
'Чили'			'Chile.gif'
'Кита'			'China.gif'
'Колумби'		'Colombia.gif'
'Коста- Рик'		'Costa Rica.gif'
'Хорвати'		'Croatia.gif'
'Кипр'			'Cyprus.gif'
'Чехи'			'Czech Republic.gif'
'Дани'			'Denmark.gif'
'Эквадор'		'Ecuador.gif'
'Египт'			'Egypt.gif'
'Сальвадор'		'El Salvador.gif'
'Англи'			'England.gif'
'Эстони'		'Estonia.gif'
'Фарерски'		'Faroe Islands.gif'
'Финлянди'		'Finland.gif'
'Франци'		'France.gif'
'Грузи'			'Georgia.gif'
'Германи'		'Germany.gif'
'Великобритани'		'Great Britain.gif'
'Греци'			'Greece.gif'
'Гватемал'		'Guatemala.gif'
'Голланди'		'Holland.gif'
'Гондурас'		'Honduras.gif'
'Венгри'		'Hungary.gif'
'Исланди'		'Iceland.gif'
'Индонези'		'Indonesia.gif'
'Иран'			'Iran.gif'
'Израил'		'Israel.gif'
'Итали'			'Italy.gif'
'Япон'			'Japan.gif'
'Казахстан'		'Kazakhstan.gif'
'Кени'			'Kenya.gif'
'Республики Коре'	'Korea Republic.gif'
'Кувейт'		'Kuwait.gif'
'Латви'			'Latvia.gif'
'Литв'			'Lithuania.gif'
'Македон'		'Macedonia.gif'
'Малайзи'		'Malaysia.gif'
'Мексик'		'Mexico.gif'
'Молдов'		'Moldova.gif'
'Черногори'		'Montenegro.gif'
'Марокко'		'Morocco.gif'
'Зеланди'		'New Zealand.gif'
'Норвеги'		'Norway.gif'
'Парагва'		'Paraguay.gif'
'Перу'			'Peru.gif'
'Филиппин'		'Philippines.gif'
'Польш'			'Poland.gif'
'Португали'		'Portugal.gif'
'Ирланди'		'RepOfIreland.gif'
'Румыни'		'Romania.gif'
'Росси'			'Russia.gif'
'Сан Марин'		'San Marino.gif'
'Саудовск'		'Saudi Arabia.gif'
'Шотланди'		'Scotland.gif'
'Серби'			'Serbia.gif'
'Сингапур'		'Singapore.gif'
'Словаки'		'Slovakia.gif'
'Словени'		'Slovenia.gif'
'Южная Африка'		'South Africa.gif'
'Южнокорейск'		'South Korea.gif'
'Южной Кореи'		'South Korea.gif'
'Испани'		'Spain.gif'
'Швеци'			'Sweden.gif'
'Швейцари'		'switzerland.gif'
'Таиланд'		'Thailand.gif'
'Тунис'			'Tunisia.gif'
'Турци'			'Turkey.gif'
'Украин'		'Ukraine.gif'
'Уругва'		'Uruguay.gif'
'США'			'Usa.gif'
'Узбекистан'		'Uzbekistan.gif'
'Венесуэл'		'Venezuela.gif'
'Вьетнам'		'Vietnam.gif'
'Уэльс'			'Wales.gif'
