'Albania'		'Albania.gif'
'Algeria'		'Algeria.gif'
'Argentina'		'Argentina.gif'
'Armenia'		'Armenia.gif'
'Australia'		'Australia.gif'
'Austria'		'Austria.gif'
'Azerbaijan'		'Azerbaijan.gif'
'Belarus'		'Belarus.gif'
'Belgium'		'Belgium.gif'
'Bolivia'		'Bolivia.gif'
'Bosnia-Herzegovina'	'Bosnia-Herzegovina.gif'
'Brazil'		'Brazil.gif'
'Bulgaria'		'Bulgaria.gif'
'Canada'		'Canada.gif'
'Chile'			'Chile.gif'
'China'			'China.gif'
'Colombia'		'Colombia.gif'
'Costa Rica'		'Costa Rica.gif'
'Croatia'		'Croatia.gif'
'Cyprus'		'Cyprus.gif'
'Czech Republic'	'Czech Republic.gif'
'Denmark'		'Denmark.gif'
'Ecuador'		'Ecuador.gif'
'Egypt'			'Egypt.gif'
'El Salvador'		'El Salvador.gif'
'England'		'England.gif'
'Estonia'		'Estonia.gif'
'Faroe Island'		'Faroe Islands.gif'
'Finland'		'Finland.gif'
'France'		'France.gif'
'Georgia'		'Georgia.gif'
'Germany'		'Germany.gif'
'Great Britain'		'Great Britain.gif'
'Greece'		'Greece.gif'
'Guatemala'		'Guatemala.gif'
'Netherlands'		'Holland.gif'
'Honduras'		'Honduras.gif'
'Hungary'		'Hungary.gif'
'Iceland'		'Iceland.gif'
'Indonesia'		'Indonesia.gif'
'Iran'			'Iran.gif'
'Israel'		'Israel.gif'
'Italy'			'Italy.gif'
'Japan'			'Japan.gif'
'Kazakhstan'		'Kazakhstan.gif'
'Kenya'			'Kenya.gif'
'Republic of Korea'	'Korea Republic.gif'
'Kuwait'		'Kuwait.gif'
'Latvia'		'Latvia.gif'
'Lithuania'		'Lithuania.gif'
'Macedonia'		'Macedonia.gif'
'Malaysia'		'Malaysia.gif'
'Mexico'		'Mexico.gif'
'Moldova'		'Moldova.gif'
'Montenegro'		'Montenegro.gif'
'Morocco'		'Morocco.gif'
'New Zealand'		'New Zealand.gif'
'Norway'		'Norway.gif'
'Paraguay'		'Paraguay.gif'
'Peru'			'Peru.gif'
'Philippines'		'Philippines.gif'
'Poland'		'Poland.gif'
'Portugal'		'Portugal.gif'
'Ireland (Rep. of)'	'RepOfIreland.gif'
'Romania'		'Romania.gif'
'Russia'		'Russia.gif'
'San Marino'		'San Marino.gif'
'Saudi Arabia'		'Saudi Arabia.gif'
'Scotland'		'Scotland.gif'
'Serbia'		'Serbia.gif'
'Singapore'		'Singapore.gif'
'Slovakia'		'Slovakia.gif'
'Slovenia'		'Slovenia.gif'
'South Africa'		'South Africa.gif'
'South Korea'		'South Korea.gif'
'South Kore'		'South Korea.gif'
'Spain'			'Spain.gif'
'Sweden'		'Sweden.gif'
'Swedish'		'sweden.gif'
'Switzerland'		'switzerland.gif'
'Thailand'		'Thailand.gif'
'Tunisia'		'Tunisia.gif'
'Turkiye'		'Turkey.gif'
'Ukraine'		'Ukraine.gif'
'Uruguay'		'Uruguay.gif'
'USA'			'Usa.gif'
'Uzbekistan'		'Uzbekistan.gif'
'Venezuela'		'Venezuela.gif'
'Vietnam'		'Vietnam.gif'
'Wales'			'Wales.gif'
